Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Abbadia Cerreto	277.00	46.62
Abbadia Lariana	3205.00	192.89
Abbiategrasso	32610.00	685.19
Acquafredda	1528.00	164.15
Acquanegra Cremonese	1173.00	127.93
Acquanegra sul Chiese	2865.00	103.34
Adrara San Martino	2229.00	177.61
Adrara San Rocco	822.00	89.43
Adro	7188.00	501.61
Agnadello	3918.00	320.09
Agnosine	1687.00	126.37
Agra	399.00	146.69
Agrate Brianza	15598.00	1385.27
Aicurzio	2096.00	859.81
Airuno	2856.00	664.49
Alagna	836.00	99.59
Albairate	4702.00	314.24
Albano Sant'Alessandro	8294.00	1540.07
Albaredo Arnaboldi	233.00	29.01
Albaredo per San Marco	291.00	15.82
Albavilla	6354.00	612.87
Albese con Cassano	4228.00	534.65
Albiate	6375.00	2218.65
Albino	17805.00	562.81
Albiolo	2742.00	964.78
Albizzate	5251.00	1365.02
Albonese	530.00	127.77
Albosaggia	3011.00	87.93
Albuzzano	3564.00	230.82
Alfianello	2450.00	178.00
Algua	668.00	80.86
Alme'	5538.00	2802.00
Almenno San Bartolomeo	6295.00	588.95
Almenno San Salvatore	5674.00	1199.96
Alserio	1265.00	631.02
Alta Valle Intelvi	2946.00	117.92
Alzano Lombardo	13655.00	996.49
Alzate Brianza	4953.00	657.22
Ambivere	2370.00	716.73
Andalo Valtellino	563.00	85.61
Anfo	487.00	20.60
Angera	5489.00	312.93
Angolo Terme	2362.00	78.07
Annicco	2036.00	106.52
Annone di Brianza	2303.00	389.63
Antegnate	3258.00	329.60
Anzano del Parco	1812.00	556.24
Appiano Gentile	7779.00	605.09
Aprica	1555.00	77.58
Arcene	4849.00	1119.85
Arcisate	10066.00	822.79
Arconate	6628.00	789.10
Arcore	17933.00	1937.70
Ardenno	3260.00	190.73
Ardesio	3458.00	64.02
Arena Po	1556.00	70.61
Arese	19495.00	2947.89
Argegno	654.00	161.72
Arluno	12027.00	970.95
Arosio	5087.00	1943.84
Arsago Seprio	4897.00	466.78
Artogne	3609.00	172.80
Arzago d'Adda	2711.00	291.68
Asola	10056.00	137.02
Assago	9151.00	1129.66
Asso	3579.00	549.69
Averara	181.00	16.65
Aviatico	563.00	66.90
Azzanello	624.00	57.19
Azzano Mella	3394.00	315.23
Azzano San Paolo	7597.00	1774.70
Azzate	4686.00	1046.16
Azzio	769.00	348.53
Azzone	389.00	22.38
Badia Pavese	359.00	73.96
Bagnaria	661.00	39.97
Bagnatica	4358.00	659.18
Bagnolo Cremasco	4885.00	469.48
Bagnolo Mella	12637.00	404.42
Bagnolo San Vito	5919.00	120.68
Bagolino	3845.00	35.23
Ballabio	4049.00	269.45
Baranzate	11983.00	4322.29
Barasso	1715.00	432.32
Barbariga	2304.00	205.08
Barbata	698.00	89.21
Barbianello	847.00	72.65
Bardello	1630.00	642.29
Bareggio	17344.00	1520.03
Barghe	1176.00	215.22
Bariano	4250.00	603.88
Barlassina	7019.00	2545.36
Barni	565.00	101.82
Barzago	2399.00	676.02
Barzana	1984.00	954.68
Barzano'	5081.00	1409.12
Barzio	1306.00	62.67
Bascape'	1719.00	132.18
Basiano	3680.00	809.20
Basiglio	8010.00	933.35
Bassano Bresciano	2328.00	247.11
Bastida Pancarana	993.00	80.40
Battuda	661.00	95.06
Bedero Valcuvia	646.00	257.80
Bedizzole	12369.00	465.10
Bedulita	725.00	171.51
Belgioioso	6209.00	251.18
Bellagio	3707.00	128.94
Bellano	3185.00	313.16
Bellinzago Lombardo	3869.00	840.74
Bellusco	7415.00	1132.48
Bema	123.00	6.03
Bene Lario	330.00	59.98
Berbenno	2385.00	383.56
Berbenno di Valtellina	4130.00	116.62
Beregazzo con Figliaro	2767.00	728.52
Bereguardo	2664.00	151.03
Bergamo	121639.00	3011.18
Berlingo	2782.00	598.52
Bernareggio	11209.00	1866.19
Bernate Ticino	3033.00	251.09
Bertonico	1118.00	54.10
Berzo Demo	1615.00	105.92
Berzo Inferiore	2489.00	113.16
Berzo San Fermo	1386.00	234.82
Besana in Brianza	15532.00	988.26
Besano	2566.00	752.62
Besate	2060.00	160.48
Besnate	5596.00	743.35
Besozzo	8984.00	645.75
Biandronno	3314.00	349.23
Bianzano	604.00	91.45
Bianzone	1315.00	77.51
Biassono	12250.00	2484.98
Bienno	3804.00	81.01
Binago	4831.00	674.02
Binasco	7259.00	1874.23
Bione	1362.00	78.67
Bisuschio	4309.00	610.81
Bizzarone	1654.00	599.03
Blello	75.00	34.08
Blessagno	282.00	75.56
Blevio	1184.00	216.01
Bodio Lomnago	2217.00	547.17
Boffalora d'Adda	1770.00	217.71
Boffalora sopra Ticino	4131.00	539.20
Bolgare	6309.00	725.99
Bollate	36564.00	2780.31
Boltiere	6176.00	1450.09
Bonate Sopra	10085.00	1629.00
Bonate Sotto	6683.00	1036.49
Bonemerse	1503.00	258.94
Bordolano	596.00	74.31
Borgarello	2704.00	556.66
Borghetto Lodigiano	4311.00	181.97
Borgo di Terzo	1177.00	635.72
Borgo Mantovano	5529.00	133.16
Borgo Priolo	1458.00	51.20
Borgo San Giacomo	5402.00	184.73
Borgo San Giovanni	2437.00	325.83
Borgo San Siro	975.00	56.81
Borgo Virgilio	14831.00	209.99
Borgocarbonara	1983.00	66.17
Borgoratto Mormorolo	417.00	26.52
Borgosatollo	9277.00	1101.07
Bormio	4179.00	101.20
Bornasco	2711.00	209.61
Borno	2598.00	87.29
Bosisio Parini	3407.00	587.91
Bosnasco	619.00	128.80
Bossico	986.00	140.04
Bottanuco	5151.00	889.83
Botticino	10857.00	587.40
Bovegno	2128.00	44.72
Bovezzo	7532.00	1159.41
Bovisio-Masciago	16933.00	3431.79
Bozzolo	4164.00	222.61
Bracca	692.00	129.19
Brallo di Pregola	553.00	12.57
Brandico	1707.00	202.27
Branzi	711.00	27.19
Braone	693.00	51.06
Brebbia	3231.00	471.54
Bregano	873.00	375.93
Bregnano	6503.00	1051.67
Brembate	8562.00	1544.62
Brembate di Sopra	7852.00	1900.94
Brembio	2720.00	157.81
Breme	748.00	40.18
Brenna	2148.00	445.25
Breno	4815.00	80.43
Brenta	1671.00	399.33
Brescia	198536.00	2177.95
Bressana Bottarone	3474.00	274.20
Bresso	26300.00	7764.34
Brezzo di Bedero	1203.00	122.07
Brienno	329.00	37.34
Brignano Gera d'Adda	6008.00	496.16
Brinzio	814.00	126.49
Brione	721.00	104.68
Briosco	6078.00	905.49
Brissago-Valtravaglia	1223.00	200.36
Brivio	4594.00	580.91
Broni	9603.00	451.43
Brugherio	35064.00	3348.83
Brumano	116.00	14.62
Brunate	1710.00	846.91
Brunello	942.00	598.15
Brusaporto	5627.00	1121.12
Brusimpiano	1202.00	205.38
Bubbiano	2400.00	813.84
Buccinasco	27102.00	2263.50
Buglio in Monte	2011.00	72.62
Buguggiate	3093.00	1238.32
Bulciago	2932.00	927.52
Bulgarograsso	4104.00	1074.48
Burago di Molgora	4246.00	1232.16
Buscate	4697.00	606.49
Busnago	6785.00	1168.11
Bussero	8439.00	1842.35
Busto Arsizio	83628.00	2720.32
Busto Garolfo	13891.00	1066.53
Cabiate	7493.00	2362.81
Cadegliano-Viconago	2181.00	214.27
Cadorago	7995.00	1109.27
Cadrezzate con Osmate	2688.00	322.48
Caglio	483.00	69.66
Caino	2131.00	123.06
Caiolo	1094.00	32.91
Cairate	7671.00	685.37
Calcinate	6013.00	396.80
Calcinato	12993.00	387.25
Calcio	5375.00	339.93
Calco	5413.00	1163.87
Calolziocorte	13867.00	1524.94
Calusco d'Adda	8333.00	1005.28
Calvagese della Riviera	3543.00	303.83
Calvatone	1194.00	87.59
Calvenzano	4262.00	630.58
Calvignano	111.00	16.32
Calvignasco	1228.00	694.27
Calvisano	8497.00	190.57
Cambiago	7023.00	968.52
Camerata Cornello	606.00	47.59
Camisano	1245.00	115.61
Campagnola Cremasca	676.00	144.80
Camparada	2156.00	1257.65
Campione d'Italia	1961.00	730.57
Campodolcino	936.00	19.20
Campospinoso	1095.00	295.63
Candia Lomellina	1556.00	56.34
Canegrate	12679.00	2393.22
Canneto Pavese	1379.00	239.21
Canneto sull'Oglio	4369.00	169.64
Canonica d'Adda	4438.00	1405.30
Cantello	4716.00	519.71
Cantu'	40007.00	1717.21
Canzo	5167.00	457.54
Capergnanica	2158.00	316.76
